country,pct_desert,desert_severity
Ethiopia,83.45045869243745,Severe Desert
Ethiopia,7.916469305798139,Served
Ethiopia,33.32155489154681,Moderate Desert
Ethiopia,9.784025859826837,Served
Ethiopia,17.62894943013139,Minor Issues
Ethiopia,60.339125900621646,Severe Desert
Ethiopia,20.561246115147522,Minor Issues
Ethiopia,26.68957806316012,Minor Issues
Ethiopia,64.97245446714416,Severe Desert
Ethiopia,5.54699962911825,Served
Ethiopia,18.52215577440983,Minor Issues
Ethiopia,0.0,
Ethiopia,19.552409500406178,Minor Issues
Ethiopia,6.834571389332853,Served
Ethiopia,21.098891696045623,Minor Issues
Ethiopia,0.0,
Ethiopia,12.437069933867223,Minor Issues
Ethiopia,65.66161553983171,Severe Desert
Ethiopia,10.192533123573643,Minor Issues
Ethiopia,13.780930729955099,Minor Issues
Ethiopia,0.4758353357339512,Served
Ethiopia,11.049160481937932,Minor Issues
Ethiopia,8.963662870441551,Served
Ethiopia,4.211207208503115,Served
Ethiopia,2.880404608258074,Served
Ethiopia,44.30150759397345,Moderate Desert
Ethiopia,8.590603291786035,Served
Ethiopia,19.443522090851324,Minor Issues
Tanzania,0.46931979452681455,Served
Tanzania,0.0,
Tanzania,10.952028770506788,Minor Issues
Tanzania,58.426562537723115,Moderate Desert
Tanzania,57.45611394064415,Moderate Desert
Tanzania,40.44286687029787,Moderate Desert
Tanzania,0.19778056678319056,Served
Tanzania,31.41263258361234,Moderate Desert
Tanzania,55.314470539114076,Moderate Desert
Tanzania,0.0,
Tanzania,0.0,
Tanzania,0.007415263846669637,Served
Tanzania,9.588110587856187,Served
Tanzania,15.985680406342288,Minor Issues
Tanzania,20.328515521695437,Minor Issues
Tanzania,0.0,
Tanzania,32.06231721619487,Moderate Desert
Tanzania,1.6085711013790454,Served
Tanzania,11.132149872790137,Minor Issues
Tanzania,79.29388932747582,Severe Desert
Tanzania,10.850742384218563,Minor Issues
Tanzania,4.10337410907856,Served
Tanzania,17.9198525640792,Minor Issues
Tanzania,7.8796891758334695,Served
Tanzania,1.7108647150784182,Served
